ccvm,name,cnpj,type,situation
502138,HOTEIS E TURISMO FLORESTA S/A,11.727.781/0001-37,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 22/09/2010
6696,HOTEIS E TURISMO GUANABARA SA,33.858.168/0001-91,CIAS ABERTAS,Cancelado em 13/03/2015
500569,HOTEIS ELDORADO CUIABA SA,54.175.476/0001-92,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/11/2008
502855,HOTEIS G P SA,08.008.807/0001-82,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 12/05/2004
504823,HOTEIS GLOBAL SA,03.150.745/0001-25,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
6700,HOTEIS OTHON SA,33.200.049/0001-47,CIAS ABERTAS,Concedido em 08/08/1980
514896,HOTEIS RIO ALEGRE SA,24.693.756/0001-21,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 01/06/2017
502359,HOTEIS SALINAS SA,09.276.932/0001-36,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 29/04/2010
6718,HOTEIS TANNENHOF SA,82.602.426/0001-80,CIAS ABERTAS,Cancelado em 19/09/1990
518506,HOTEL ACORES SA,92.950.351/0001-81,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 21/09/2006
517135,HOTEL ATLANTICO SA,27.021.542/0001-05,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 12/02/1998
503789,HOTEL CABO BRANCO SA,08.601.353/0001-59,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 03/11/2005
511234,HOTEL CAICARA S/A,08.603.680/0001-40,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
511641,HOTEL COSTA AZUL S/A,09.344.391/0001-36,CIAS INCENTIVADAS REGISTRADAS,Concedido em 30/10/1990
510998,HOTEL EQUINOCIOS S/A,10.238.962/0001-37,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 21/01/1997
513660,HOTEL ERVA DOCE SA,32.418.485/0001-24,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 19/12/2006
515612,HOTEL ESPADARTE SA.,27.012.137/0001-12,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 03/11/2005
509256,HOTEL FAZ VILA VERDE SA,07.487.952/0001-20,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
501824,HOTEL FLAMINGO SA,07.199.284/0001-36,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 30/03/2002
514829,HOTEL PRAIA SOL SA,30.686.810/0001-04,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 13/07/2007
6734,HOWA S.A. INDUSTRIAS MECANICAS,60.891.751/0001-77,CIAS ABERTAS,Cancelado em 18/12/1984
8915,HSBC ASSET FINANCE (BRASIL) - ARRENDAMEN,34.262.972/0001-76,CIAS ABERTAS,Cancelado em 03/08/1990
15210,HSBC ASSET FINANCE (BRASIL) - ARRENDAMEN,34.262.972/0001-76,CIAS ABERTAS,Cancelado em 29/10/2004
12521,HSBC BRASIL S.A. - BANCO DE INVESTIMENTO,53.518.684/0001-84,CIAS ABERTAS,Cancelado em 01/02/2000
19755,HSBC BRASIL S.A. - BANCO DE INVESTIMENTO,53.518.684/0001-84,CIAS ABERTAS,Cancelado em 14/09/2015
736,HSBC LEASING A.M.(BRASIL) SA,44.847.374/0001-12,CIAS ABERTAS,Cancelado em 23/12/1999
728,HSBC SEGUROS BRASIL SA,76.538.446/0001-36,CIAS ABERTAS,Cancelado em 26/12/2000
14095,HSBX BAURU EMPREENDIMENTOS SA,67.760.702/0001-44,CIAS ABERTAS,Cancelado em 16/09/2009
12149,HUMAITA SA,50.991.421/0001-08,CIAS ABERTAS,Cancelado em 19/12/1989
512338,HUMUS NORDESTE SA,08.400.426/0001-44,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
520608,HUMUS NORDESTE SA,08.400.426/0001-44,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 19/05/2017
13218,HUSKY SA,84.685.189/0001-93,CIAS ABERTAS,Cancelado em 09/01/2007
15580,HYDE PARK SA,01.180.474/0001-25,CIAS ABERTAS,Cancelado em 09/01/2007
21431,HYPERA S/A,02.932.074/0001-91,CIAS ABERTAS,Concedido em 16/04/2008
510955,IANDE AGROPEC SA,22.955.017/0001-35,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
14257,IBM LEASING ARREND MERC SA,34.270.520/0001-36,CIAS ABERTAS,Cancelado em 09/01/1995
513857,IBOTIRAMA AGRICOLA SA,32.670.812/0001-30,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
520209,IBOTIRAMA AGRICOLA SA,32.670.812/0001-30,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 11/12/2015
513580,IBREL SA,04.211.629/0001-31,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
511315,ICA PRODS QUIM DA BAHIA SA,16.280.315/0001-70,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
6785,ICAL IND DE CALCINACAO SA,17.157.264/0001-56,CIAS ABERTAS,Cancelado em 23/02/1989
6793,ICANOR SA ARAMES E CABOS,10.969.780/0001-36,CIAS ABERTAS,Cancelado em 26/10/1984
512460,ICEBRAS-IND CERAMICA BRASIL SA,11.491.842/0001-00,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
18414,IDEIASNET SA,02.365.069/0001-44,CIAS ABERTAS,Concedido em 02/08/1999
13692,IDEROL SA EQUIPS RODOVIARIOS,49.058.555/0001-83,CIAS ABERTAS,Cancelado em 20/12/2005
6807,IFEMA SA I DE CONDS ELETRICOS,49.867.112/0001-33,CIAS ABERTAS,Cancelado em 19/09/1989
508039,IGARA PARTICIPAÇÕES S/A,11.578.390/0001-06,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 06/04/2006
502022,IGARITE AGROPEC SA,11.254.661/0001-60,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
6815,IGB ELETRÔNICA S.A. - EM RECUPERAÇÃO JUDICIAL,43.185.362/0001-07,CIAS ABERTAS,Concedido em 19/12/1973
502677,IGB IND GRAFICA BRASILEIRA SA,10.779.288/0001-06,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
22403,IGUA SANEAMENTO S.A.,08.159.965/0001-33,CIAS ABERTAS,Cancelado em 23/03/2011
23175,IGUA SANEAMENTO S.A.,08.159.965/0001-33,CIAS ABERTAS,Concedido em 13/05/2013
15113,IGUACU CELULOSE PAPEL SA,81.304.727/0001-64,CIAS ABERTAS,Cancelado em 03/03/2017
20494,IGUATEMI EMPRESA DE SHOPPING CENTERS S/A,51.218.147/0001-93,CIAS ABERTAS,Concedido em 02/02/2007
7420,IKPC INDS KLABIN PAPEL CEL SA,60.484.797/0001-71,CIAS ABERTAS,Cancelado em 28/12/2001
509124,ILCASA IND LAT CAMPINA GDE SA,08.815.060/0001-74,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 27/10/2006
509183,ILHA AGROPECUARIA SA,06.931.323/0001-85,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 23/07/2002
513059,ILHA DE MARAJO HOTEIS SA,05.013.206/0001-70,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
516376,ILOBRAS IND LENTES OFT BR SA,40.909.087/0001-39,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
513300,ILSA - INDS LUELLMA SA,33.679.069/0001-42,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
511480,IMACO SA IND METALURGICA,04.972.980/0001-45,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
511021,IMAT S/A SOC AGRI E PECUARIA,61.599.734/0001-23,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 09/04/1998
21318,"IMCOPA-IMPORTAÇÃO, EXPORT E IND DE OLEOS SA",78.571.411/0001-24,CIAS ABERTAS,Cancelado em 05/11/2008
6831,IMCOSUL SA,92.783.646/0001-00,CIAS ABERTAS,Cancelado em 20/12/2005
515582,IMERYS RIO CAPIM CAULIM S/A,16.532.798/0001-52,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 06/08/2008
506001,IMETAMAR IND MEC METALURG SA,12.547.840/0001-58,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
512800,IMPASA IMPERATRIZ AGROPASTORIL SA,00.808.469/0001-51,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
511862,IMPERATRIZ PEC E INDL SA,04.786.919/0001-03,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/08/2006
508810,IMPERIAL AGRICULT IRRIGADA SA,24.097.453/0001-46,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
508071,IMPERIAL AGROIND MARANHÃO SA,06.913.115/0001-53,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
500305,IMPERIAL MONÇÃO AGROPEC  SA,06.767.982/0001-28,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
14567,IMPERIO LISAMAR SA IND E COM,33.123.118/0001-66,CIAS ABERTAS,Cancelado em 07/08/2007
6840,IMPORTADORA DE FERRAGENS SA,04.893.996/0001-62,CIAS ABERTAS,Cancelado em 04/01/2010
516279,INACARB IND NAC DE CARBON SA,27.263.805/0001-84,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 06/01/1995
503886,INAVE S/A - INDÚSTRIA E NAVEGAÇÃO,06.425.144/0001-76,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
6874,INBRAC SA CONDUTORES ELETRICOS,61.081.972/0001-42,CIAS ABERTAS,Cancelado em 05/03/2002
515850,INBRAC VITORIA SA,39.620.349/0001-61,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 30/08/1995
22560,INBRANDS SA,09.054.385/0001-44,CIAS ABERTAS,Concedido em 08/08/2011
506893,INBRASMA IND BRAS MARMORE SA,06.629.695/0001-51,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
508934,INCASA IND CER DO ACRE SA,04.620.209/0001-09,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
516112,INCOMIL IND E COM MINERIOS SA,30.567.713/0001-00,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 19/01/1999
510629,INCON PRODS ALIM SA,13.609.391/0001-98,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
514730,INCOPLASTINS IND COM EMB TO SA,37.240.330/0001-64,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
518271,INCOSPAL CONSTRUÇÕES PRÉ-FABRICADAS S/A,39.801.279/0001-48,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 15/09/2011
503983,IND ALIMS DO NORDESTE SA,06.565.402/0001-10,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
6955,IND AZULEJOS BAHIA SA,15.126.626/0001-16,CIAS ABERTAS,Cancelado em 30/01/2018
515060,IND BAHIANA DE ARTEF DE PAP SA,16.112.484/0001-09,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 29/12/1998
6912,IND BAHIANA DE LAJES SA,15.102.692/0001-56,CIAS ABERTAS,Cancelado em 22/03/2005
6963,IND BEBS ANTARCTICA AMAZ  SA,04.393.401/0001-00,CIAS ABERTAS,Cancelado em 11/01/1999
3581,IND BEBS ANTARCTICA MG SA,23.536.691/0001-48,CIAS ABERTAS,Cancelado em 11/01/1999
6971,IND BEBS ANTARCTICA MG SA,17.317.686/0001-41,CIAS ABERTAS,Cancelado em 17/01/1995
13684,IND BEBS ANTARCTICA MT SA,32.993.529/0001-40,CIAS ABERTAS,Cancelado em 26/07/1990
6980,IND BEBS ANTARCTICA NORTE-NORDESTE SA,15.182.652/0001-61,CIAS ABERTAS,Cancelado em 01/11/2001
13188,IND BEBS ANTARCTICA PARAIBA SA,09.259.821/0001-11,CIAS ABERTAS,Cancelado em 11/01/1999
6998,IND BEBS ANTARCTICA PIAUI SA,05.234.760/0001-87,CIAS ABERTAS,Cancelado em 11/01/1999
7005,IND BEBS ANTARCTICA POLAR SA,95.424.479/0001-08,CIAS ABERTAS,Cancelado em 31/05/2001
13668,IND BEBS ANTARCTICA RN SA,08.473.852/0001-08,CIAS ABERTAS,Cancelado em 11/01/1999
502391,IND BEBS ANTARCTICA RN SA,08.473.852/0001-08,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 24/10/1990
6920,IND BIOL FARMACEUTICA AMAZ SA,04.932.265/0001-89,CIAS ABERTAS,Cancelado em 22/03/2005
507660,IND BRAS ARTEF PLASTICOS SA,07.367.055/0001-83,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 09/06/2006
520403,IND BRAS DE SAL SA,07.197.890/0001-12,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 30/06/2016
7013,IND CALCADOS ERNO SA,89.716.138/0001-03,CIAS ABERTAS,Cancelado em 20/12/2005
6947,IND CERAMICA AMAZONIA SA INCA,04.990.958/0001-28,CIAS ABERTAS,Cancelado em 14/02/2007
513547,IND COM DE MOVEIS TUPI SA,04.718.730/0001-83,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
520020,IND COM DE OLEOS ARARIPINA SA,09.717.646/0001-69,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 26/01/2015
514047,IND COM DE PISOS CERAMICO SA,10.324.663/0001-15,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
514756,IND COM DE REFRIG DA AMAZ. SA,02.393.692/0001-00,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 17/07/2004
509370,IND COM DE TELAS SA,08.685.729/0001-50,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 31/01/2006
511609,IND COM GONÇALVES MONTEIRO SA,09.270.539/0001-35,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
509680,IND COM PAPEIS SA,06.920.268/0001-28,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
505722,IND CONFEC SPARTA NE SA,08.045.668/0001-67,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 07/01/1993
517348,IND CONFECÇÕES OMEGA SA,27.739.200/0001-17,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 15/03/2005
502227,IND DE CALCADOS CARPINA SA,12.777.728/0001-03,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 25/01/1993
7072,IND DE MAQS AGRICOLAS IDEAL SA,95.814.083/0001-69,CIAS ABERTAS,Cancelado em 06/05/1991
7102,IND DE PAPEL PIRACICABA SA,51.329.092/0001-99,CIAS ABERTAS,Cancelado em 23/12/1986
517941,IND DE PESCA DO CEARA SA - IPECEA,07.200.959/0001-10,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 18/01/2001
514527,IND FRANCISCANA DE M E BISC SA,31.298.359/0001-10,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
7064,IND MAQS AGRICOLAS FUCHS SA,90.724.345/0001-80,CIAS ABERTAS,Cancelado em 25/10/2012
509221,IND MARANHENSE DE PLASTICOS SA,11.104.692/0001-34,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 23/07/2002
517330,IND MARONI SA,04.554.671/0001-55,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
9920,IND MASSAS E BISCOITOS ALCOBAÇA SA,28.053.387/0001-63,CIAS ABERTAS,Cancelado em 12/01/1988
512168,IND MASSAS E BISCOITOS ALCOBAÇA SA,28.053.387/0001-63,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
7218,IND METALURGICA IGUACU SA,30.819.585/0001-37,CIAS ABERTAS,Cancelado em 20/12/2005
517127,IND METALURGICA SILVANA SA,08.815.979/0001-68,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 17/09/1997
504319,IND NACIONAL DE ACESS P/ IRRIG S/A - INAPI,05.535.711/0001-84,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
500623,IND NAVAL DO CE SA,07.326.937/0001-09,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
511196,IND OLEOS CORINGA SA,11.095.718/0001-25,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
515892,IND OLEOS GUIMARAES SA,05.777.271/0001-71,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
12645,IND OLEOS PACAEMBU SA,61.085.544/0001-98,CIAS ABERTAS,Cancelado em 22/11/2006
7080,IND PAPEIS SANTO AMARO SA,15.891.435/0001-40,CIAS ABERTAS,Cancelado em 22/03/2005
7099,IND PAPEL PAPELAO S.ROBERTO SA,60.432.648/0001-69,CIAS ABERTAS,Cancelado em 11/11/1996
517526,IND PLAST CELI SA CELIPLAST,32.748.899/0001-11,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
519278,IND PLAST CELI SA CELIPLAST,32.748.899/0001-11,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 21/08/2012
515388,IND PLAYBOY NORDESTE SA,23.602.410/0001-08,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 18/02/2004
519359,IND PRODUTOS METALURGICOS DO NORDESTE SA,08.826.349/0001-99,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 20/09/2012
503819,IND SOROS E PRODS FARMACEUTICOS DO PIAUI SA,05.822.507/0001-44,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
7269,IND TEXTIL JARITA SA,84.430.610/0001-15,CIAS ABERTAS,Cancelado em 22/03/2005
514225,IND VESTUARIO DO NORDESTE SA,24.064.206/0001-43,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
7277,"INDAC - INDÚSTRIA, ADM. E COMÉRCIO S.A.",92.690.817/0001-57,CIAS ABERTAS,Cancelado em 08/03/2010
518840,INDEPENDÊNCIA AGROPECUÁRIA SA,08.025.249/0001-63,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 06/11/2009
7285,INDL ARTE TECNICA S.A.,92.750.132/0001-59,CIAS ABERTAS,Cancelado em 24/01/1989
15954,INDL BRASIL ARREND MERC SA,01.003.635/0001-05,CIAS ABERTAS,Cancelado em 01/10/2003
7307,INDL E COML BRAS SA INCOBRASA,92.721.315/0001-46,CIAS ABERTAS,Cancelado em 11/01/1988
505153,INDS AGRI DO NE SA,06.565.501/0001-00,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
7340,INDS ALIMCS ITACOLOMY SA ITASA,18.135.624/0001-81,CIAS ABERTAS,Cancelado em 26/11/1987
7358,INDS ALIMENTICIAS MAGUARY SA,09.886.995/0001-04,CIAS ABERTAS,Cancelado em 13/03/1992
15881,INDS ARTEB SA,62.291.380/0001-18,CIAS ABERTAS,Cancelado em 25/01/2010
7366,INDS ARTEFAMA SA,86.046.562/0001-91,CIAS ABERTAS,Cancelado em 24/06/1993
7374,INDS C FABRINI SA,61.142.063/0001-77,CIAS ABERTAS,Cancelado em 14/06/1996
7390,INDS CHOCOLATE LACTA S/A,56.993.645/0001-27,CIAS ABERTAS,Cancelado em 17/07/1998
7382,INDS COELHO SA,10.728.806/0001-54,CIAS ABERTAS,Cancelado em 04/01/2010
12068,INDS DE BEBS JOAQUIM T A F SA,31.901.382/0001-58,CIAS ABERTAS,Cancelado em 25/07/1986
508250,INDS DUREINO SA,10.981.488/0001-39,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 08/10/2012
520373,INDS DUREINO SA,10.981.488/0001-39,CIAS INCENTIVADAS REGISTRADAS,Concedido em 09/05/2016
512940,INDS ELETRICAS ELITE SA,07.212.574/0001-72,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 15/03/2005
12319,INDS J B DUARTE SA,60.637.238/0001-54,CIAS ABERTAS,Concedido em 14/03/1985
7404,INDS JOSSAN SA,08.397.697/0001-98,CIAS ABERTAS,Cancelado em 13/06/1991
7412,INDS KARINA SA,06.061.105/0001-37,CIAS ABERTAS,Cancelado em 09/08/2005
7439,INDS MADEIRIT SA,60.873.874/0001-85,CIAS ABERTAS,Cancelado em 04/01/2010
7455,INDS MINERVA SA,10.775.468/0001-01,CIAS ABERTAS,Cancelado em 22/11/2006
7463,INDS MONSANTO SA,43.995.323/0001-75,CIAS ABERTAS,Cancelado em 07/03/1986
5606,INDS NUCLEARES DO BRASIL SA,00.322.818/0001-20,CIAS ABERTAS,Cancelado em 18/07/1994
7471,INDS QUIMICAS NORTE SA,06.283.477/0001-08,CIAS ABERTAS,Cancelado em 09/08/2005
504866,INDS REUN RAYMUNDO DA FONTE SA,11.507.415/0001-72,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 10/02/2006
517305,INDS REUNS STA MARIA SA,22.665.921/0001-06,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 08/02/1999
7501,INDS ROMI DO NORDESTE SA,10.810.653/0001-90,CIAS ABERTAS,Cancelado em 14/07/1988
7528,INDS SCHNEIDER SA,84.685.106/0001-66,CIAS ABERTAS,Cancelado em 04/01/2000
7536,INDS TEXTEIS BARBERO SA,71.444.681/0001-25,CIAS ABERTAS,Cancelado em 18/03/2008
510211,INDUCON DO NE SA,24.278.459/0001-10,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 20/05/2011
515736,INDUSA-IND E COM PROTEINAS NE,15.585.631/0001-97,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
503347,INDÚSTRIA DE FRIO E PESCA S/A-IPESCA,07.287.998/0001-04,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
502375,INDUSTRIA DE LATICÍNIOS PALMEIRA DOS INDIOS S/A,09.342.379/0001-92,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 03/05/2013
12866,INDÚSTRIA VEROLME S.A. - IVESA,28.500.320/0001-20,CIAS ABERTAS,Cancelado em 07/04/2015
7447,INDUSTRIAS MICHELETTO S/A,88.301.163/0001-55,CIAS ABERTAS,Cancelado em 26/06/2008
7510,INDÚSTRIAS ROMI S.A.,56.720.428/0001-63,CIAS ABERTAS,Concedido em 19/04/1938
16730,INEPAR ENERGIA SA,02.225.714/0001-23,CIAS ABERTAS,Cancelado em 21/11/2011
17868,INEPAR EQUIPAMENTOS E MONTAGENS S.A. - EM RECUPERAÇÃO JUDICIAL,02.258.422/0001-97,CIAS ABERTAS,Concedido em 23/10/1998
7595,INEPAR SA IND E CONSTRUÇÕES - EM RECUPERAÇÃO JUDICIAL,76.627.504/0001-06,CIAS ABERTAS,Concedido em 22/01/1980
512656,INFAN - IND QUÍMICA FARMACÊUTICA NACIONAL S/A,08.939.548/0001-03,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 02/02/2009
21288,INFINITY BIO-ENERGY BRASIL PARTICIPAÇÕES S/A,07.704.069/0001-45,CIAS ABERTAS,Cancelado em 27/11/2008
16314,INFOVIAS PNSC SA,01.596.910/0001-41,CIAS ABERTAS,Cancelado em 27/05/2002
21750,INFRASEC SECURITIZADORA S/A,10.488.244/0001-19,CIAS ABERTAS,Concedido em 22/09/2009
505064,INGA AGRO FLORESTAL SA,04.726.386/0001-74,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
519685,INGA AGRO FLORESTAL SA,04.726.386/0001-74,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 26/01/2017
17558,INNCORP S.A.,02.604.860/0001-60,CIAS ABERTAS,Concedido em 20/07/1998
517488,INONIBRAS INOCULANTES E FERRO LIGAS NIPO-BRASILEIROS S/A,18.891.036/0001-78,CIAS INCENTIVADAS REGISTRADAS,Concedido em 04/06/1997
502987,INOVISA IND NORDEST VIDROS SA,10.318.061/0001-55,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/06/1996
507571,INPELE INDUSTRIAS DE PELES SA,08.231.607/0001-94,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 09/02/2012
504289,INPROMAR SA INDUSTRIA DE PRODUTOS DO MAR,06.893.044/0001-74,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
24090,INSTITUTO HERMES PARDINI S/A,19.378.769/0001-76,CIAS ABERTAS,Concedido em 10/02/2017
23043,INTELLECTUAL SERVICES S.A - GESTÃO DE ATIVOS DO CONHECIMENTO,12.395.063/0001-73,CIAS ABERTAS,Cancelado em 07/01/2016
24279,INTER CONSTRUTORA E INCORPORADORA S.A,09.611.768/0001-76,CIAS ABERTAS,Concedido em 09/11/2017
16179,INTERAGRO SA ALIMENTOS,80.246.812/0001-50,CIAS ABERTAS,Cancelado em 16/01/1998
19631,INTERCEMENT BRASIL SA,62.258.884/0001-36,CIAS ABERTAS,Cancelado em 01/08/2011
22888,INTERCOSMETIC HOLDING S/A,12.610.116/0001-21,CIAS ABERTAS,Cancelado em 07/01/2016
510122,INTERMAR INDUSTRIA E COMERCIO SA,04.377.529/0001-80,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
23086,INTERMULTIMODAL S.A OPERADORA DE PLATAFORMAS INTERNACIONAIS DE LOGISTICA MULTIMODAL,12.394.916/0001-52,CIAS ABERTAS,Cancelado em 07/01/2016
90000,INTERNATIONAL FINANCE CORPORATION - IFC,-,CIAS ESTRANGEIRAS - REGIME ESPECIAL,Cancelado em 30/08/2013
23574,INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.,17.314.329/0001-20,CIAS ABERTAS,Concedido em 19/03/2015
21890,"INTERNATIONAL MEAL COMPANY HOLDINGS, SA",08.936.792/0001-12,CIAS ABERTAS,Cancelado em 26/03/2010
22438,"INTERNATIONAL MEAL COMPANY HOLDINGS, SA",08.936.792/0001-12,CIAS ABERTAS,Cancelado em 01/12/2014
511889,INTEX INDUSTRIA DE PLÁSTICOS SA,15.205.867/0001-50,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
515515,INTRAFRUT INDÚSTRIA TRANSFORMADORA DE FRUTOS S/A,08.972.622/0001-93,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 04/02/2012
500461,INTROSUC INDUSTRIA TROPICAL SUCOS SA,08.442.592/0001-03,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
7609,INVESPAR SA,42.461.046/0001-58,CIAS ABERTAS,Cancelado em 23/08/1996
18775,INVEST.E PART.EM INFRA-ESTR.S/A-INVEPAR,03.758.318/0001-24,CIAS ABERTAS,Concedido em 29/09/2000
18589,INVESTCO S/A,00.644.907/0001-93,CIAS ABERTAS,Concedido em 04/02/2000
12505,INVESTEC SA,46.112.488/0001-40,CIAS ABERTAS,Cancelado em 04/05/1999
18570,INVESTHOTEL S.A.,02.983.657/0001-41,CIAS ABERTAS,Cancelado em 19/09/2002
6041,INVESTIMENTOS BEMGE S.A.,01.548.981/0001-79,CIAS ABERTAS,Concedido em 20/07/1977
18120,INVESTMOBILE SA,02.869.385/0001-53,CIAS ABERTAS,Cancelado em 30/09/2002
18384,INVESTVALE SERVIÇOS S.A.,02.812.190/0001-77,CIAS ABERTAS,Cancelado em 09/05/2007
18791,INVISTA NYLON SUL AMERICANA S/A,00.021.096/0001-74,CIAS ABERTAS,Cancelado em 05/11/2003
21687,INVITEL LEGACY SA,10.242.478/0001-81,CIAS ABERTAS,Concedido em 11/11/2008
17396,INVITEL SA,02.465.782/0001-60,CIAS ABERTAS,Cancelado em 31/07/2009
11932,IOCHPE-MAXION SA,61.156.113/0001-75,CIAS ABERTAS,Concedido em 17/07/1984
7498,IOSA INDÚSTRIA DE ÓLEO E SABÃO S/A,06.263.438/0001-49,CIAS ABERTAS,Cancelado em 09/12/1985
