ccvm,name,cnpj,type,situation
504190,AGROINDUSTRIAL SERRA VERMELHA S/A,06.846.992/0001-59,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
520306,AGROINDUSTRIAL SERRA VERMELHA S/A,06.846.992/0001-59,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 17/02/2016
512770,AGROINDUSTRIAL UNIDOS S/A,22.949.390/0001-83,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 11/01/2011
511404,AGROINDUSTRIAL VERA CRUZ S/A,04.986.188/0001-40,CIAS INCENTIVADAS REGISTRADAS,Concedido em 04/10/1990
501581,AGROISA-AGROINDL CAMPO NOVO SA,06.403.174/0001-81,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
514500,AGROJAISA AGROPEC JATAHY INDL,12.313.151/0001-89,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/09/2011
501395,AGROLANDIA ACAILANDIA IND SA,22.957.963/0001-10,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
501786,AGROLUPE-AGROPEC GUADALUPE SA,07.481.559/0001-20,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
500496,AGROLUSA-AGROINDL LUSITANA SA,05.753.116/0001-15,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 05/03/1997
506036,AGROMA EMPREEND RURAIS SA,06.272.470/0001-90,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
503681,AGROMALTA AGROP MARANHENSE SA,06.777.965/0001-71,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 30/09/2011
509329,AGROMON SA AGRICULTURA E PEC,01.355.296/0001-26,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
503800,AGROMOSA AGROP M F OLIVEIRA SA,06.040.547/0001-05,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
505846,AGROMUNDO AGROPEC RAIM VIA SA,07.025.125/0001-15,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
507164,AGRON AGROINDL SA,00.319.137/0001-03,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
507105,AGRONESA-AGROPEC NOVA ESPERANÇA,04.794.962/0001-10,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 10/01/2012
221,AGRONORTE SA,21.444.765/0001-90,CIAS ABERTAS,Cancelado em 20/12/2005
519111,AGRONOSA AGROPEC NORTE SA,06.454.276/0001-26,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 05/07/2011
501166,AGROPALMA SA,04.102.265/0001-51,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
515078,AGROPARANÁ S/A,34.130.039/0001-45,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
512257,AGROPASA AGR MED PARAGUASSU SA,13.632.344/0001-65,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
510173,AGROPASTORIL CANTANHEDE SA,06.011.779/0001-27,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
505102,AGROPASTORIL DOIS ACUDES S/A,07.680.093/0001-91,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
